EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 1     1     -2    -3    -1    0     -1    2    -0.744 -1.358 -4.802 -0.407 -0.109 0.507 0
 1     1     -2    -3    -1    0     -1    2    -0.762 -1.402 -5.004 -0.408 -0.110 0.506 0
 1     1     -2    -3    -1    0     -1    2    -0.788 -1.431 -5.196 -0.409 -0.112 0.507 0
 -2    -6    0     13    7     2     -3    -1   -0.814 -1.443 -5.387 -0.409 -0.115 0.508 0
 -2    -6    0     13    7     2     -3    -1   -0.841 -1.445 -5.558 -0.406 -0.116 0.510 0
 -2    -6    0     13    7     2     -3    -1   -0.880 -1.447 -5.750 -0.401 -0.116 0.512 0
 -2    -6    0     13    7     2     -3    -1   -0.923 -1.454 -5.875 -0.394 -0.116 0.515 0
 -2    -6    0     13    7     2     -3    -1   -0.954 -1.470 -5.982 -0.385 -0.114 0.517 0
 -2    -6    0     13    7     2     -3    -1   -0.968 -1.485 -6.051 -0.378 -0.113 0.517 0
 -2    1     3     1     -4    -2    -3    -1   -0.995 -1.503 -6.125 -0.368 -0.113 0.519 0
 -2    1     3     1     -4    -2    -3    -1   -1.008 -1.522 -6.185 -0.357 -0.113 0.520 0
 -2    1     3     1     -4    -2    -3    -1   -1.003 -1.544 -6.255 -0.344 -0.113 0.518 0
 -2    1     3     1     -4    -2    -3    -1   -0.993 -1.556 -6.316 -0.335 -0.115 0.517 0
 -2    1     3     1     -4    -2    -3    -1   -0.970 -1.567 -6.379 -0.326 -0.114 0.513 0
 -2    1     3     1     -4    -2    -3    -1   -0.952 -1.581 -6.444 -0.321 -0.114 0.510 0
 -2    -2    -4    3     3     -2    -1    -2   -0.926 -1.601 -6.534 -0.315 -0.113 0.505 0
 -2    -2    -4    3     3     -2    -1    -2   -0.897 -1.647 -6.677 -0.310 -0.112 0.499 0
 -2    -2    -4    3     3     -2    -1    -2   -0.876 -1.709 -6.863 -0.313 -0.112 0.494 0
