EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Estimatedtorque
 -6    -30   5     -3    -5    -1    -4    -6    0 0 0 0 0 0 2.929850
 -6    -30   5     -3    -5    -1    -4    -6    0 0 0 0 0 0 2.919481
 2     5     -13   -2    -4    1     0     2     0 0 0 0 0 0 2.907011
 2     5     -13   -2    -4    1     0     2     0 0 0 0 0 0 2.894819
 1     15    4     9     0     -5    -5    -3    0 0 0 0 0 0 2.884912
 -3    -13   10    -5    -3    1     1     1     0 0 0 0 0 0 2.878238
 1     10    -8    3     4     1     0     -1    0 0 0 0 0 0 2.874835
 1     10    -8    3     4     1     0     -1    0 0 0 0 0 0 2.874230
 0     -9    -6    5     2     -2    0     -1    0 0 0 0 0 0 2.875936
 4     -9    -8    7     7     7     6     5     0 0 0 0 0 0 2.879533
 4     -9    -8    7     7     7     6     5     0 0 0 0 0 0 2.884562
 3     2     19    10    3     3     0     0     0 0 0 0 0 0 2.890505
 1     -14   -17   10    5     1     0     0     0 0 0 0 0 0 2.896733
 0     6     -16   -9    1     -3    -1    -2    0 0 0 0 0 0 2.902317
 0     6     -16   -9    1     -3    -1    -2    0 0 0 0 0 0 2.905817
 0     6     -16   -9    1     -3    -1    -2    0 0 0 0 0 0 2.905395
 -7    -17   1     -8    -4    0     -1    0     0 0 0 0 0 0 2.899268
 -2    12    -17   -9    -4    -2    -2    0     0 0 0 0 0 0 2.886180
 -2    10    -7    2     -2    -2    -4    -3    0 0 0 0 0 0 2.865639
 -1    -10   18    3     -1    0     -1    -2    0 0 0 0 0 0 2.837845
 -1    -10   18    3     -1    0     -1    -2    0 0 0 0 0 0 2.803229
 2     -3    1     6     3     4     3     1     0 0 0 0 0 0 2.762193
 -3    -12   1     -19   -7    -9    -7    -6    0 0 0 0 0 0 2.714992
 -3    -12   1     -19   -7    -9    -7    -6    0 0 0 0 0 0 2.662138
 5     16    5     6     0     2     2     3     0 0 0 0 0 0 2.605077
 5     16    5     6     0     2     2     3     0 0 0 0 0 0 2.546151
 3     15    7     -4    2     3     2     -1    0 0 0 0 0 0 2.488334
 3     15    7     -4    2     3     2     -1    0 0 0 0 0 0 2.434467
 2     -9    -24   6     0     -1    -1    0     0 0 0 0 0 0 2.386517
 2     -9    -24   6     0     -1    -1    0     0 0 0 0 0 0 2.345068
 2     -9    -24   6     0     -1    -1    0     0 0 0 0 0 0 2.309266
 -2    5     9     -3    -2    -1    -1    -1    0 0 0 0 0 0 2.277048
 -1    19    8     1     0     0     0     1     0 0 0 0 0 0 2.245830
 -1    19    8     1     0     0     0     1     0 0 0 0 0 0 2.213510
 -1    19    8     1     0     0     0     1     0 0 0 0 0 0 2.179274
 -1    19    8     1     0     0     0     1     0 0 0 0 0 0 2.143739
 -3    26    12    5     -6    -1    -1    -1    0 0 0 0 0 0 2.108503
 -4    -11   13    -3    -7    -3    -2    -3    0 0 0 0 0 0 2.075534
 -4    -11   13    -3    -7    -3    -2    -3    0 0 0 0 0 0 2.046413
 5     10    -13   -4    2     2     1     2     0 0 0 0 0 0 2.021985
 5     10    -13   -4    2     2     1     2     0 0 0 0 0 0 2.002345
 1     5     18    19    7     1     0     -1    0 0 0 0 0 0 1.986848
 1     5     18    19    7     1     0     -1    0 0 0 0 0 0 1.974209
 1     5     18    19    7     1     0     -1    0 0 0 0 0 0 1.962708
 2     -27   -16   -1    -2    2     0     0     0 0 0 0 0 0 1.950412
 0     1     13    3     1     2     -3    -1    0 0 0 0 0 0 1.935589
 0     1     13    3     1     2     -3    -1    0 0 0 0 0 0 1.916887
 -6    -21   -2    -8    -2    -3    -3    -5    0 0 0 0 0 0 1.893381
 2     -5    -16   -6    3     2     1     3     0 0 0 0 0 0 1.864866
 2     -5    -16   -6    3     2     1     3     0 0 0 0 0 0 1.831636
 -1    20    11    0     0     -2    -3    -3    0 0 0 0 0 0 1.794448
 3     -2    -2    10    6     3     3     2     0 0 0 0 0 0 1.754488
 -2    0     1     -7    -1    -4    -3    -3    0 0 0 0 0 0 1.712968
 -1    29    -11   -8    -6    -4    -2    -1    0 0 0 0 0 0 1.670952
 -2    3     -13   5     -3    -1    -3    -2    0 0 0 0 0 0 1.629452
 1     -26   3     -2    0     1     4     1     0 0 0 0 0 0 1.589529
 1     -26   3     -2    0     1     4     1     0 0 0 0 0 0 1.552198
 -3    -19   6     1     -1    -4    -5    -2    0 0 0 0 0 0 1.518648
 -1    -6    -14   0     1     2     0     -1    0 0 0 0 0 0 1.490033
 3     -20   -6    7     6     3     3     3     0 0 0 0 0 0 1.467150
 3     -20   -6    7     6     3     3     3     0 0 0 0 0 0 1.450577
 -2    -5    -2    -11   -2    0     -1    -2    0 0 0 0 0 0 1.440614
 -2    -5    -2    -11   -2    0     -1    -2    0 0 0 0 0 0 1.437400
 -6    -5    -6    -3    -5    -6    -4    -5    0 0 0 0 0 0 1.441033
 -6    -5    -6    -3    -5    -6    -4    -5    0 0 0 0 0 0 1.451563
 1     2     -6    4     -4    -4    -1    -1    0 0 0 0 0 0 1.468942
 1     12    0     0     -1    -7    0     0     0 0 0 0 0 0 1.492978
 0     8     -5    3     -2    -2    -1    -1    0 0 0 0 0 0 1.523412
 0     8     -5    3     -2    -2    -1    -1    0 0 0 0 0 0 1.559779
 0     8     -5    3     -2    -2    -1    -1    0 0 0 0 0 0 1.601384
 -7    11    -3    -13   -18   -10   -8    -7    0 0 0 0 0 0 1.647498
 3     2     -4    2     4     4     1     1     0 0 0 0 0 0 1.697677
 1     -25   0     9     9     9     7     5     0 0 0 0 0 0 1.751938
 1     -25   0     9     9     9     7     5     0 0 0 0 0 0 1.811183
 4     50    7     1     2     5     3     2     0 0 0 0 0 0 1.877356
 4     50    7     1     2     5     3     2     0 0 0 0 0 0 1.953754
 -5    5     -6    -7    -4    1     -3    -2    0 0 0 0 0 0 2.044779
 -5    5     -6    -7    -4    1     -3    -2    0 0 0 0 0 0 2.154422
 1     -1    -8    -10   -2    -3    -1    -1    0 0 0 0 0 0 2.284911
 1     -1    -8    -10   -2    -3    -1    -1    0 0 0 0 0 0 2.435649
 -4    -14   3     2     -1    -4    -5    -3    0 0 0 0 0 0 2.603288
 -4    -14   3     2     -1    -4    -5    -3    0 0 0 0 0 0 2.783086
 -4    -14   3     2     -1    -4    -5    -3    0 0 0 0 0 0 2.970353
 -2    -25   -4    0     3     2     2     0     0 0 0 0 0 0 3.161197
 -2    -25   -4    0     3     2     2     0     0 0 0 0 0 0 3.352599
 -2    12    -6    -2    -3    0     -1    -1    0 0 0 0 0 0 3.542022
 -2    12    -6    -2    -3    0     -1    -1    0 0 0 0 0 0 3.726647
 2     5     7     1     -1    2     1     1     0 0 0 0 0 0 3.902901
